Year,Team,Revenue,Expense,Payroll,Operating Income,NHL Points,NHL Win Per,Population,Adjusted Rev,Adjusted Exp,Adjusted Payroll,Adjusted Payroll (Million),Adjusted Income
2019,Anaheim Ducks,137,140.1,NA,-3.1,80,0.427,"13,214,799",$126.86,$129.73,#VALUE!,#VALUE!,-2.870569
2019,Arizona Coyotes,102,117,"$70,748,392",-15,#N/A,#N/A,"4,948,203",$94.45,$108.34,"$65,512,303.51",$65.5123,-13.88985
2019,Boston Bruins,228,166,NA,62,107,0.598,"4,873,019",$211.13,$153.71,#VALUE!,#VALUE!,57.41138
2019,Buffalo Sabres,135,133.1,"$77,949,631",1.9,76,0.402,"1,127,983",$125.01,$123.25,"$72,180,578.81",$72.1806,1.759381
2019,Calgary Flames,138,134.4,"$76,646,583",3.6,107,0.610,"1,514,426",$127.79,$124.45,"$70,973,969.39",$70.9740,3.333564
2019,Carolina Hurricanes,128,124.4,"$78,384,539",3.6,99,0.561,"1,390,785",$118.53,$115.19,"$72,583,299.27",$72.5833,3.333564
2019,Chicago Blackhawks,208,139,"$62,713,299",69,84,0.439,"9,458,539",$192.61,$128.71,"$58,071,887.74",$58.0719,63.89331
2019,Colorado Avalanche,130,121.1,"$73,900,012",8.9,90,0.463,"2,967,239",$120.38,$112.14,"$68,430,672.11",$68.4307,8.241311
2019,Columbus Blue Jackets,119,132,"$70,766,138",-13,98,0.573,"2,122,271",$110.19,$122.23,"$65,528,736.13",$65.5287,-12.03787
2019,Dallas Stars,166,148,"$76,745,276",18,93,0.524,"7,573,136",$153.71,$137.05,"$71,065,358.12",$71.0654,16.66782
2019,Detroit Red Wings,183,152,"$73,940,982",31,74,0.390,"4,319,629",$169.46,$140.75,"$68,468,609.92",$68.4686,28.70569
2019,Edmonton Oilers,154,138,"$69,247,838",16,79,0.427,"1,442,835",$142.60,$127.79,"$64,122,805.51",$64.1228,14.81584
2019,Florida Panthers,105,126,"$81,734,363",-21,86,0.439,"6,166,488",$97.23,$116.67,"$75,685,202.79",$75.6852,-19.44579
2019,Los Angeles Kings,203,149,"$78,886,587",54,71,0.378,"13,214,799",$187.98,$137.97,"$73,048,190.70",$73.0482,50.00346
2019,Minnesota Wild,149,138,"$78,253,038",11,83,0.451,"3,640,043",$137.97,$127.79,"$72,461,530.66",$72.4615,10.18589
2019,Montreal Canadiens,243,137,"$75,910,983",106,96,0.537,"4,334,308",$225.02,$126.86,"$70,292,811.15",$70.2928,98.15494
2019,Nashville Predators,135,146,"$72,393,629",-11,100,0.573,"1,934,317",$125.01,$135.19,"$67,035,776.52",$67.0358,-10.18589
2019,New Jersey Devils,181,156,"$75,893,785",25,72,0.378,"19,216,182",$167.60,$144.45,"$70,276,885.97",$70.2769,23.14975
2019,New York Islanders,115,118.5,"$62,687,864",-3.5,103,0.585,"19,216,182",$106.49,$109.73,"$58,048,335.19",$58.0483,-3.240965
2019,New York Rangers,270,147,"$68,690,179",123,78,0.390,"19,216,182",$250.02,$136.12,"$63,606,418.85",$63.6064,113.89677
2019,Ottawa Senators,127,123.4,"$74,426,749",3.6,64,0.354,"1,438,015",$117.60,$114.27,"$68,918,425.31",$68.9184,3.333564
2019,Philadelphia Flyers,187,147,"$69,551,644",40,82,0.451,"6,102,434",$173.16,$136.12,"$64,404,126.83",$64.4041,37.0396
2019,Pittsburgh Penguins,184,149,"$73,406,155",35,100,0.537,"2,317,600",$170.38,$137.97,"$67,973,365.47",$67.9734,32.40965
